organization;key;uuid;name;long_name;path
brave;brave_brave-core:browser/resources/settings/brave_wallet_page/wallet_networks_subpage.html;AXy89f5kZESrhV4DgxIb;wallet_networks_subpage.html;browser/resources/settings/brave_wallet_page/wallet_networks_subpage.html;browser/resources/settings/brave_wallet_page/wallet_networks_subpage.html
brave;brave_brave-core:components/brave_wallet_ui/components/buy-send-swap/swap-input-component/style.ts;AXqwCIr3Har9kiGAv4tj;style.ts;components/brave_wallet_ui/components/buy-send-swap/swap-input-component/style.ts;components/brave_wallet_ui/components/buy-send-swap/swap-input-component/style.ts
brave;brave_brave-core:components/brave_wallet_ui/components/shared/create-placeholder-icon/style.ts;AXy7Ifw1_YPRbDBnJY8K;style.ts;components/brave_wallet_ui/components/shared/create-placeholder-icon/style.ts;components/brave_wallet_ui/components/shared/create-placeholder-icon/style.ts
brave;brave_brave-core:components/brave_wallet_ui/components/buy-send-swap/swap-input-component/index.tsx;AXqwCIr3Har9kiGAv4tk;index.tsx;components/brave_wallet_ui/components/buy-send-swap/swap-input-component/index.tsx;components/brave_wallet_ui/components/buy-send-swap/swap-input-component/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/shared/create-placeholder-icon/index.tsx;AXy7Ifw1_YPRbDBnJY8L;index.tsx;components/brave_wallet_ui/components/shared/create-placeholder-icon/index.tsx;components/brave_wallet_ui/components/shared/create-placeholder-icon/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/extension/encryption-key-panel/index.tsx;AX8tCHwkjgHl3YXTWgnk;index.tsx;components/brave_wallet_ui/components/extension/encryption-key-panel/index.tsx;components/brave_wallet_ui/components/extension/encryption-key-panel/index.tsx
brave;brave_brave-core:components/brave_rewards/resources/ui/components/thumbLikePicker/index.tsx;AXCqlRlisJcONJe09tKe;index.tsx;components/brave_rewards/resources/ui/components/thumbLikePicker/index.tsx;components/brave_rewards/resources/ui/components/thumbLikePicker/index.tsx
brave;brave_brave-core:components/brave_wallet_ui/components/shared/add-custom-token-form/add-custom-token-form.tsx;AYL4k70DUwikd0VVzP-_;add-custom-token-form.tsx;components/brave_wallet_ui/components/shared/add-custom-token-form/add-custom-token-form.tsx;components/brave_wallet_ui/components/shared/add-custom-token-form/add-custom-token-form.tsx
brave;brave_brave-core:components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.test.ts;AYG88Y_rrX2VtpE9ZLO3;sol_ledger_bridge_keyring.test.ts;components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.test.ts;components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.test.ts
brave;brave_brave-core:components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.ts;AYG88Y_rrX2VtpE9ZLO4;sol_ledger_bridge_keyring.ts;components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.ts;components/brave_wallet_ui/common/hardware/ledgerjs/sol_ledger_bridge_keyring.ts
brave;brave_brave-core:script/check_chromium_src.py;AXgiD6i78DZ-9VLfeS_X;check_chromium_src.py;script/check_chromium_src.py;script/check_chromium_src.py
brave;brave_brave-core;AXCNaxlK3t17ABGUIeSN;brave-core;brave-core;
brave;brave_brave-core:components/brave_vpn/resources/panel/stories/mock-data/api.ts;AYAjoWfGF3rg56pYrrjn;api.ts;components/brave_vpn/resources/panel/stories/mock-data/api.ts;components/brave_vpn/resources/panel/stories/mock-data/api.ts
brave;brave_brave-core:browser/resources/settings/brave_privacy_page/brave_privacy_page_browser_proxy.js;AXCqlRllsJcONJe09tU6;brave_privacy_page_browser_proxy.js;browser/resources/settings/brave_privacy_page/brave_privacy_page_browser_proxy.js;browser/resources/settings/brave_privacy_page/brave_privacy_page_browser_proxy.js
brave;brave_brave-core:components/brave_vpn/resources/panel/components/contact-support/index.tsx;AYAjoWfGF3rg56pYrrjl;index.tsx;components/brave_vpn/resources/panel/components/contact-support/index.tsx;components/brave_vpn/resources/panel/components/contact-support/index.tsx
