key;rule;severity;component;project;hash;status;effort;debt;creation_date;update_date;close_date;type;resolution;assignee
AXCqlSa4sJcONJe09tau;Web:S5254;MAJOR;brave_brave-core:components/brave_new_tab_ui/brave_new_tab.html;brave_brave-core;6914c057a7746ad57464dabdd22eb1e6;OPEN;2min;2min;2019-06-28T23:12:23+0200;2021-12-02T13:02:11+0100;;BUG;;
AXCqlTMesJcONJe09tzG;python:S117;MINOR;brave_brave-core:build/ios/mojom/mojom_objc_generator.py;brave_brave-core;aa497598b815e07640b88364042c268b;OPEN;2min;2min;2019-06-26T18:11:42+0200;2021-07-01T03:06:44+0200;;CODE_SMELL;;
AXDJeoYRHxoWp820-wPW;python:S112;MAJOR;brave_brave-core:script/cargo.py;brave_brave-core;df2de2111bcbf9ee474230b391fb1e18;OPEN;20min;20min;2019-06-20T05:00:54+0200;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXCqlSvksJcONJe09tcu;python:S1542;MAJOR;brave_brave-core:script/create_installer_archive_helper.py;brave_brave-core;602595650dd7542f2f3c7784a4c7749b;OPEN;10min;10min;2019-06-15T14:24:03+0200;2020-09-01T16:52:07+0200;;CODE_SMELL;;
AXsXkPdKsnioaMCAgpvD;typescript:S4144;MAJOR;brave_brave-core:components/brave_rewards/resources/page/brave_rewards_page.tsx;brave_brave-core;285d033a2890f51d77639275b7f70d95;OPEN;15min;15min;2019-05-27T18:27:47+0200;2022-09-19T19:23:31+0200;;CODE_SMELL;;
AXDJeoWAHxoWp820-wPT;python:S112;MAJOR;brave_brave-core:script/transpile-web-ui.py;brave_brave-core;9254bd70fbb32563b0ae429e11a0a484;OPEN;20min;20min;2019-05-22T23:58:40+0200;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXDJeocjHxoWp820-wPf;python:S112;MAJOR;brave_brave-core:script/locate_latest_github_tag.py;brave_brave-core;573b9a9dc4f20c20a3523307927baac8;OPEN;20min;20min;2019-05-22T01:37:44+0200;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXJWIeBtw1GFd-OGLlxW;python:S5795;MAJOR;brave_brave-core:script/locate_latest_github_tag.py;brave_brave-core;2ce9f4c4a2eb75ac5f400e301b005e2b;OPEN;1min;1min;2019-05-22T01:37:44+0200;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AXelersgbtYYmN5cwmyl;javascript:S1135;INFO;brave_brave-core:build/commands/lib/config.js;brave_brave-core;e3cd269197707c01899e5bdd3fab33a2;OPEN;0min;0min;2019-05-09T01:10:39+0200;2021-06-30T12:30:32+0200;;CODE_SMELL;;
AXelersgbtYYmN5cwmym;javascript:S1134;MAJOR;brave_brave-core:build/commands/lib/config.js;brave_brave-core;e3cd269197707c01899e5bdd3fab33a2;OPEN;0min;0min;2019-05-09T01:10:39+0200;2021-06-30T12:30:32+0200;;CODE_SMELL;;
AXelersgbtYYmN5cwmyn;javascript:S1135;INFO;brave_brave-core:build/commands/lib/config.js;brave_brave-core;d543a750ce842692c861528c7cd47dc1;OPEN;0min;0min;2019-05-09T01:10:39+0200;2021-06-30T12:30:32+0200;;CODE_SMELL;;
AXCqlSwWsJcONJe09tdG;python:S1066;MAJOR;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;a41d765698815e9cd1019205883975f2;OPEN;5min;5min;2019-04-18T16:06:00+0200;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXDJeoSlHxoWp820-wPS;python:S112;MAJOR;brave_brave-core:script/lib/helpers.py;brave_brave-core;573b9a9dc4f20c20a3523307927baac8;OPEN;20min;20min;2019-04-17T15:27:36+0200;2020-03-11T13:01:32+0100;;CODE_SMELL;;
AXCqlSswsJcONJe09tb-;python:S3776;CRITICAL;brave_brave-core:script/lib/helpers.py;brave_brave-core;564f848bb02caaf15205a653e69cd373;OPEN;9min;9min;2019-04-17T15:27:36+0200;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXJWId6Gw1GFd-OGLlxQ;python:S2208;CRITICAL;brave_brave-core:script/update_release_changelog.py;brave_brave-core;f5acd259358f9a029330d5449ad91442;OPEN;5min;5min;2019-03-27T21:06:34+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AXJWId6Gw1GFd-OGLlxR;python:S2208;CRITICAL;brave_brave-core:script/update_release_changelog.py;brave_brave-core;9b42dcb1f336b8b9487a1f95fafb6ae4;OPEN;5min;5min;2019-03-27T21:06:34+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AXK9Y7WKSv_mbHSxhaB2;python:S5806;MAJOR;brave_brave-core:script/update_release_changelog.py;brave_brave-core;26ee77407adc8a64e1d0db23117588ca;OPEN;5min;5min;2019-03-27T21:06:34+0100;2021-05-27T14:01:49+0200;;CODE_SMELL;;
AXJWIeCiw1GFd-OGLlxX;python:S2208;CRITICAL;brave_brave-core:script/changelog.py;brave_brave-core;f5acd259358f9a029330d5449ad91442;OPEN;5min;5min;2019-03-19T18:18:34+0100;2020-05-27T14:31:29+0200;;CODE_SMELL;;
AXCqlSp6sJcONJe09tbT;css:S4667;MAJOR;brave_brave-core:browser/resources/settings/social_blocking_page/social_blocking_page.html;brave_brave-core;1ef0bca0c8fe511a919ad12472e6c67f;OPEN;1min;1min;2019-03-15T03:54:04+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSwWsJcONJe09tdC;python:S1192;CRITICAL;brave_brave-core:script/sign_upload_linux_pkgs.py;brave_brave-core;e5cbaba368f5ed477054ea600cb452e0;OPEN;6min;6min;2019-03-14T18:29:27+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXCqlSxMsJcONJe09tdi;python:S3776;CRITICAL;brave_brave-core:script/build-bisect.py;brave_brave-core;a61ddfc9a5600e43dfa44e670bdae2bf;OPEN;18min;18min;2019-03-14T01:29:53+0100;2020-03-05T13:01:18+0100;;CODE_SMELL;;
AXelesMIbtYYmN5cwm1r;javascript:S1186;CRITICAL;brave_brave-core:browser/resources/settings/brave_appearance_page/brave_appearance_browser_proxy.js;brave_brave-core;4e737b0818e943bfd9f34619236e2f04;CLOSED;5min;5min;2019-03-13T18:09:44+0100;2022-10-14T01:47:31+0200;2022-10-14T01:47:31+0200;CODE_SMELL;FIXED;
