project_id;commit_id;new_path;old_path;new_file;renamed_file;deleted_file
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django.tests/test-bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/tests/.OM2DParsingTest.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django.tests/test-bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/tests/.OM2DParsingTest.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django.tests/xtend-gen/br/ufes/nemo/seon/generator/ontologymodel/to/django/tests/.OM2DParsingTest.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django.tests/xtend-gen/br/ufes/nemo/seon/generator/ontologymodel/to/django/tests/.OM2DParsingTest.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.BDDGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.BDDGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.DocumentationGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.DocumentationGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.HelperGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.HelperGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.ModuleGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.ModuleGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.OM2DGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.OM2DGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.ScriptGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.ScriptGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.TestDGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/.TestDGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/application/.SettingsGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/application/.SettingsGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.AdminGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.AdminGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.DAOGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.DAOGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.FormGenerator.xtendbin;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.FormGenerator.xtendbin;False;False;False
21803695;fb9b1da988d75a35be4d5617511c9434cbac440d;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.ModelGenerator.java._trace;br.ufes.nemo.seon.generator.ontologymodel.to.django/bin/br/ufes/nemo/seon/generator/ontologymodel/to/django/generator/components/.ModelGenerator.java._trace;False;False;False
